iter	Passed	Remaining
1576	2718	15353
1577	2719	15350
1578	2721	15345
1579	2722	15341
1580	2723	15337
1581	2725	15333
1582	2726	15330
1583	2727	15325
1584	2729	15322
1585	2730	15318
1586	2731	15314
1587	2732	15310
1588	2734	15305
1589	2735	15300
1590	2736	15296
1591	2737	15292
1592	2739	15288
1593	2740	15284
1594	2741	15281
1595	2743	15278
1596	2745	15275
1597	2746	15271
1598	2747	15267
1599	2748	15262
1600	2750	15258
1601	2751	15254
1602	2752	15250
1603	2754	15247
1604	2755	15243
1605	2756	15239
1606	2758	15236
1607	2759	15232
1608	2761	15229
1609	2762	15225
1610	2763	15221
1611	2764	15217
1612	2766	15212
1613	2767	15209
1614	2768	15204
1615	2769	15200
1616	2771	15196
1617	2772	15193
1618	2774	15189
1619	2775	15186
1620	2776	15182
1621	2778	15178
1622	2779	15174
1623	2780	15170
1624	2781	15166
1625	2783	15162
1626	2784	15158
1627	2785	15154
1628	2787	15151
1629	2788	15147
1630	2790	15145
1631	2791	15142
1632	2793	15139
1633	2794	15136
1634	2795	15132
1635	2797	15127
1636	2798	15123
1637	2799	15118
1638	2801	15116
1639	2802	15113
1640	2804	15112
1641	2805	15109
1642	2807	15105
1643	2808	15102
1644	2810	15099
1645	2811	15097
1646	2813	15093
1647	2814	15090
1648	2815	15086
1649	2817	15083
1650	2818	15080
1651	2820	15077
1652	2821	15075
1653	2823	15073
1654	2824	15070
1655	2826	15066
1656	2827	15062
1657	2828	15059
1658	2830	15055
1659	2831	15051
1660	2832	15047
1661	2834	15044
1662	2835	15041
1663	2837	15038
1664	2838	15035
1665	2839	15031
1666	2841	15027
1667	2842	15024
1668	2844	15021
1669	2845	15017
1670	2846	15013
1671	2848	15010
1672	2849	15007
1673	2850	15004
1674	2852	15000
1675	2854	14999
1676	2855	14996
1677	2856	14992
1678	2858	14988
1679	2859	14984
1680	2860	14979
1681	2861	14975
1682	2862	14971
1683	2864	14967
1684	2865	14964
1685	2867	14961
1686	2868	14958
1687	2869	14954
1688	2871	14951
1689	2872	14947
1690	2873	14944
1691	2875	14940
1692	2876	14936
1693	2878	14934
1694	2879	14931
1695	2881	14928
1696	2882	14926
1697	2884	14924
1698	2885	14921
1699	2887	14918
1700	2889	14917
1701	2890	14914
1702	2891	14909
1703	2892	14905
1704	2894	14901
1705	2895	14897
1706	2896	14895
1707	2898	14893
1708	2918	14987
1709	2920	14985
1710	2921	14982
1711	2923	14978
1712	2924	14974
1713	2925	14970
1714	2927	14967
1715	2928	14963
1716	2930	14963
